"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,Broad,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,SEGUIDORES,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,2024-11-25T16:31:06-0500,0,,0,
2025-11-01,2026-03-20,DIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,INDIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"visitantes sitio web",not_delivering,1000000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T15:04:35-0500,0,,0,
2025-11-01,2026-03-20,seguidores,not_delivering,1000000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T15:04:35-0500,0,,0,
2025-11-01,2026-03-20,"R Caliente",not_delivering,1000000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T15:04:35-0500,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-26T14:15:03-0500,0,,0,
2025-11-01,2026-03-20,INDIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T18:38:41-0500,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,800000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T16:43:09-0500,0,,0,
2025-11-01,2026-03-20,DIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:12:51-0500,0,,0,
2025-11-01,2026-03-20,INDIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:12:51-0500,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:12:52-0500,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:17:12-0500,0,,0,
2025-11-01,2026-03-20,DIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:17:13-0500,0,,0,
2025-11-01,2026-03-20,"SIMILAR TRIFASICO 30D",not_delivering,12500,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-20,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR CALIENTE 30D",inactive,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-20,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR TIBIO 30D",not_delivering,15000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-20,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR TRIFASICO 60D",inactive,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-20,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR TIBIO 60D",inactive,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-20,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR CALIENTE 60D",not_delivering,12500,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-20,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-Promt-Directo/ Intc",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-06-30,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-06-30,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-Promt-Indirecto",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-06-30,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,R.marketing,not_delivering,333000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,seguidores,not_delivering,333000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,2024-11-26T15:16:56-0500,0,,0,
2025-11-01,2026-03-20,registro,not_delivering,333000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"R CALIENTE",not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,VISITAS,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,SEGUIDORES,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,advantage,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,seguidores,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,trifasico,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,Advantage,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,advantage,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,trifasico,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,seguidores,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,ABSOLUTE_OCPM,2025-02-08T16:42:52-0500,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - bienestar",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - logistica",not_delivering,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - bienestar",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - logistica",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",not_delivering,15000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - marketing",not_delivering,15000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - finanzas",not_delivering,15000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - bienestar",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - logistica",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"inTC. SIMILAR 120 ENVIARON MENSAJE WAP IG",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-07,-,0,ABSOLUTE_OCPM,2025-07-07T06:48:49-0500,0,,0,
2025-11-01,2026-03-20,R.marketing,not_delivering,333000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,REGISTRADOS,not_delivering,333000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,seguidores,not_delivering,333000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-26,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"DIRECTO 1 COMMERCE",not_delivering,20000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-29,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"DIRECTO 1 COMMERCE",not_delivering,20000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-29,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"DIRECTO 1 COMMERCE",not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-29,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,Trifasico,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,seguidores,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2024-12-21,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - marketing",inactive,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - finanzas",not_delivering,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - bienestar",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,2025-02-08T15:46:52-0500,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,15000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - logistica",not_delivering,15000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - finanzas",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - marketing",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - logistica",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - bienestar",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 34)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,ADVANTAGE,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,ADVANTAGE,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,ADVANTAGE,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,2024-11-26T14:18:39-0500,0,,0,
2025-11-01,2026-03-20,DIRECTO,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,2024-11-26T14:17:41-0500,0,,0,
2025-11-01,2026-03-20,INDIRETO,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,2024-11-26T14:17:32-0500,0,,0,
2025-11-01,2026-03-20,INDIRETO,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-26T14:14:01-0500,0,,0,
2025-11-01,2026-03-20,DIRECTO,inactive,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:09:55-0500,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-26T14:13:52-0500,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",inactive,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-Promt-Directo/ Intc",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-01,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,EFFI-ADV,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-01,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-Promt-Indirecto/ Intc",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-01,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-Promt-Indirecto/ Int",not_delivering,4200,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-07,-,0,ABSOLUTE_OCPM,2025-07-07T05:07:02-0500,0,,0,
2025-11-01,2026-03-20,"PERSONALIZADOS 24 HORAS",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-07-08,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-Promt-Directo/ Intc",not_delivering,6250,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-24,-,0,ABSOLUTE_OCPM,2025-07-24T07:25:15-0500,0,,0,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - ABIERTO",not_delivering,20000,Diario,330675,44879,31759,1601,1431,4.30744,231.079665,1435,profile_visit_view,230.43554007,"En curso",2025-10-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-04T17:00:02-0500,7368.145458,,1.413111,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",not_delivering,40000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-16,-,0,ABSOLUTE_OCPM,2025-10-20T19:20:09-0500,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN - CALIENTE - TRIFASICO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-17,-,0,ABSOLUTE_OCPM,2025-10-18T00:23:29-0500,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN - ADVTG",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-17,-,0,ABSOLUTE_OCPM,2025-10-18T00:23:28-0500,0,,0,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-24,-,0,ABSOLUTE_OCPM,2025-10-24T08:51:41-0500,0,,0,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - VIDEO",not_delivering,20000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-24,-,0,ABSOLUTE_OCPM,2025-10-27T15:06:55-0500,0,,0,
2025-11-01,2026-03-20,"ADVTG - DIRECTO",not_delivering,15000,Diario,794918,41883,26470,1838,528,1.888931,1505.526515,274,actions:onsite_conversion.messaging_conversation_started_7d,2901.16058394,"En curso",2025-10-27,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,18979.490485,,1.582282,
2025-11-01,2026-03-20,"ADVTG - ABIERTO",not_delivering,15000,Diario,795952,40683,26328,1694,543,1.861136,1465.841621,295,actions:onsite_conversion.messaging_conversation_started_7d,2698.14237288,"En curso",2025-10-27,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,19564.732198,,1.545237,
2025-11-01,2026-03-20,"ADVTG - INDIRECTO",not_delivering,15000,Diario,790574,52591,33381,1796,740,2.073036,1068.343243,426,actions:onsite_conversion.messaging_conversation_started_7d,1855.80751174,"En curso",2025-10-27,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,15032.496054,,1.575477,
2025-11-01,2026-03-20,"DIRECTO 1 COMMERCE",inactive,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-26T08:46:55-0500,0,,0,
2025-11-01,2026-03-20,"DIRECTO 1 COMMERCE",not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-26T08:46:49-0500,0,,0,
2025-11-01,2026-03-20,SEGUIDORES,not_delivering,800000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,INDIRECTO,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:05:14-0500,0,,0,
2025-11-01,2026-03-20,Broad,not_delivering,400000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,2024-11-25T17:05:16-0500,0,,0,
2025-11-01,2026-03-20,"ADVANTAGE SYSTEMS",not_delivering,7500,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"ADVANTAGE SYSTEMS",not_delivering,7500,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"ADVANTAGE SYSTEMS",not_delivering,7500,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO",not_delivering,26800,Diario,0,0,0,0,,0,,,,,"En curso",2025-09-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN - ADVTG - PROMPT DIRECTO",not_delivering,31250,Diario,0,0,0,0,,0,,,,,"En curso",2025-09-25,-,0,ABSOLUTE_OCPM,2025-09-29T10:08:50-0500,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN - ADVTG - PROMPT DIRECTO - IMAGEN",inactive,10000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-16,-,0,ABSOLUTE_OCPM,2025-10-17T18:41:34-0500,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN NUEVA PAG - ADVTG - PROMPT DIRECTO - IMAGEN",not_delivering,30000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-17,-,0,ABSOLUTE_OCPM,2025-10-20T15:02:11-0500,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN - ADVTG - PROMPT DIRECTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-17,-,0,ABSOLUTE_OCPM,2025-10-18T00:23:28-0500,0,,0,
2025-11-01,2026-03-20,"EFFIWOMAN - ADVTG",active,"Con el presupuesto de la campaña",0,2126541,316556,132901,10744,10962,7.095507,193.992063,10836,profile_visit_view,196.24778516,"En curso",2025-10-21,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-29T16:25:41-0500,6717.740305,,2.381893,
2025-11-01,2026-03-20,"EFFICOMMERCE - ADVTG - ABIERTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-23,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICOMMERCE - ADVTG - DIRECTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-23,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICOMMERCE - ADVTG - INDIRECTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-23,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICOMMERCE - RMKT TRIFASICO",not_delivering,50000,Diario,0,0,0,0,,0,,1,actions:onsite_conversion.messaging_conversation_started_7d,0,"En curso",2025-10-23,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"ADVTG - PROMPT DIRECTO - IMAGEN - Copia",not_delivering,"Con el presupuesto de la campaña",0,51475,3846,2344,49,30,1.194539,1715.833333,1,actions:offsite_conversion.fb_pixel_complete_registration,51475,"En curso",2025-11-08,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2025-11-08T13:55:39-0500,13384.035361,,1.640785,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",not_delivering,200000,Diario,31880,3097,3031,45,29,0.923788,1099.310345,,,,"En curso",2025-11-19,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2025-11-19T13:09:28-0500,10293.832741,,1.021775,
2025-11-01,2026-03-20,"IG JUAN - ADVTG - ABIERTO",active,"Con el presupuesto de la campaña",0,1786078,416382,225825,11426,11201,4.460091,159.457013,10794,profile_visit_view,165.4695201,"En curso",2025-11-20,"1 día tras clic",0,ABSOLUTE_OCPM,2026-02-03T00:26:38-0500,4289.517799,,1.843826,
2025-11-01,2026-03-20,"IG JUAN - ADVTG - PROMPT DIRECTO",active,"Con el presupuesto de la campaña",0,608130,153090,112573,6768,5449,4.435344,111.603964,5132,profile_visit_view,118.49766173,"En curso",2025-11-20,"1 día tras clic",0,ABSOLUTE_OCPM,2026-02-03T00:26:55-0500,3972.369195,,1.359918,
